Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,Income_Loan_Ratio,EMI
LP001002,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,45.6953125,0.35555555555555557
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,47.5859375,0.35555555555555557
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,45.45454545454545,0.18333333333333332
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,41.175,0.3333333333333333
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,42.5531914893617,0.39166666666666666
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,36.00374531835206,0.7416666666666667
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,40.51578947368421,0.2638888888888889
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,35.063291139240505,0.4388888888888889
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,32.92857142857143,0.4666666666666667
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,68.22063037249283,0.9694444444444444
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,55.714285714285715,0.19444444444444445
LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,39.81651376146789,0.30277777777777776
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,55.895,0.5555555555555556
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,41.166666666666664,0.31666666666666665
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,140.2941176470588,0.14166666666666666
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,39.6,0.3472222222222222
LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,35.96,0.4166666666666667
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,46.18421052631579,0.2111111111111111
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,36.744360902255636,0.36944444444444446
LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,53.04347826086956,0.3194444444444444
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,73.65384615384616,0.28888888888888886
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,36.76190476190476,0.875
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,38.88793103448276,0.32222222222222224
LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,47.160714285714285,0.3111111111111111
LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,43.98675496688742,0.41944444444444445
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,50.05235602094241,0.5305555555555556
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,41.40983606557377,0.3388888888888889
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,47.872727272727275,0.3055555555555556
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,41.2,0.09722222222222222
LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,48.608333333333334,0.3333333333333333
LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,37.48756218905473,0.5583333333333333
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,42.7972972972973,0.20555555555555555
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,44.264150943396224,0.29444444444444445
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,45.324561403508774,0.31666666666666665
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,48.4375,0.8888888888888888
LP001106,1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,33.921875,0.35555555555555557
LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,31.58,0.2777777777777778
